,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,comodoro rivadavia,0,AR,1561597126,61,-45.87,-67.48,48.2,17.22
1,flinders,20,AU,1561597382,87,-34.58,150.85,61.0,4.7
2,trelew,32,AR,1561597127,50,-43.25,-65.31,47.96,20.98
3,santa lucia,0,IT,1561597383,50,41.98,12.66,80.01,4.7
4,puerto del rosario,10,ES,1561597383,73,28.5,-13.86,69.8,12.75
5,fergus falls,1,US,1561597123,45,46.28,-96.08,82.99,5.35
6,lircay,93,PE,1561597383,86,-12.99,-74.72,31.94,3.27
7,tuatapere,95,NZ,1561597384,79,-46.13,167.69,53.01,5.01
8,cockburn town,31,TC,1561597098,80,21.46,-71.14,81.98,16.4
9,hobart,0,AU,1561597134,76,-42.88,147.33,57.0,12.75
10,vaini,75,IN,1561597384,100,15.34,74.49,69.8,3.36
11,esperance,40,AU,1561597323,87,-33.86,121.89,55.4,14.99
12,ryotsu,90,JP,1561597384,78,38.08,138.43,75.2,2.24
13,alta floresta,45,BR,1561597384,60,-9.87,-56.08,75.68,2.68
14,hermanus,0,ZA,1561597384,95,-34.42,19.24,53.01,7.27
15,hithadhoo,64,MV,1561597323,74,-0.6,73.08,83.42,8.84
16,san andres,100,PH,1561597385,89,13.32,122.68,79.1,10.04
17,boguchany,43,RU,1561597385,52,58.38,97.46,71.18,2.13
18,wajir,38,KE,1561597385,61,1.75,40.07,76.22,16.49
19,punta arenas,0,CL,1561597323,74,-53.16,-70.91,28.4,8.05
20,puerto colombia,0,CO,1561597385,74,10.99,-74.96,84.2,8.05
21,ushuaia,75,AR,1561597322,79,-54.81,-68.31,28.4,20.8
22,ndjole,96,GA,1561597386,90,-0.18,10.76,70.46,2.82
23,husavik,0,CA,1561597386,30,50.56,-96.99,80.01,9.13
24,lompoc,75,US,1561597386,72,34.64,-120.46,73.0,16.11
25,kodiak,1,US,1561597386,32,39.95,-94.76,84.99,6.93
26,bubaque,2,GW,1561597386,77,11.28,-15.83,80.0,9.78
27,paamiut,100,GL,1561597385,100,61.99,-49.67,40.58,5.75
28,parabel,96,RU,1561597386,83,58.71,81.5,64.52,11.5
29,bhimunipatnam,20,IN,1561597386,83,17.88,83.43,82.4,3.36
30,shaowu,69,CN,1561597386,76,27.34,117.49,79.46,1.43
31,havoysund,100,NO,1561597387,93,71.0,24.66,44.6,27.51
32,bluff,14,AU,1561597043,65,-23.58,149.07,68.3,24.58
33,ranong,75,TH,1561597387,94,9.96,98.62,78.8,2.24
34,busselton,26,AU,1561597387,47,-33.64,115.35,57.0,31.5
35,henties bay,53,NA,1561597111,90,-22.12,14.28,55.99,5.99
36,port elizabeth,1,US,1561597387,61,39.31,-74.98,84.2,6.93
37,maple creek,45,CA,1561597387,39,49.91,-109.46,73.52,6.06
38,chokurdakh,9,RU,1561597374,33,70.62,147.9,65.24,13.49
39,san patricio,0,PY,1561597387,74,-26.98,-56.83,43.82,4.99
40,leticia,35,CO,1561597388,96,-4.21,-69.94,74.42,2.95
41,airai,30,TL,1561597388,58,-8.93,125.41,73.88,3.09
42,rikitea,53,PF,1561597130,80,-23.12,-134.97,74.42,10.4
43,marawi,100,PH,1561597388,75,8.0,124.29,84.0,3.0
44,sao paulo de olivenca,51,BR,1561597388,93,-3.38,-68.87,74.78,1.05
45,bethel,90,US,1561597191,72,60.79,-161.76,66.2,23.04
46,srednekolymsk,48,RU,1561597389,28,67.46,153.71,71.18,18.75
47,codrington,40,AU,1561597389,93,-28.95,153.24,66.2,5.82
48,lorengau,82,PG,1561597268,79,-2.02,147.27,83.06,5.73
49,fortuna,0,ES,1561597389,61,38.18,-1.13,79.0,3.36
50,ypsonas,0,CY,1561597389,88,34.69,32.96,80.01,10.29
51,tasiilaq,100,GL,1561597063,81,65.61,-37.64,44.6,1.12
52,izacic,0,BA,1561597390,95,44.88,15.78,66.0,1.97
53,albany,40,US,1561597180,78,42.65,-73.75,75.99,4.7
54,nurota,26,UZ,1561597390,52,40.56,65.69,69.8,4.7
55,jamestown,0,AU,1561597209,54,-33.21,138.6,58.4,16.71
56,gasa,92,BT,1561597390,95,27.91,89.73,38.6,2.17
57,puerto ayora,20,EC,1561597390,69,-0.74,-90.35,77.0,18.34
58,nampula,40,MZ,1561597390,93,-15.12,39.26,62.6,3.36
59,tha bo,75,TH,1561597391,94,17.85,102.58,80.6,4.7
60,komsomolskiy,89,RU,1561597391,83,67.55,63.78,40.76,6.02
61,taoudenni,0,ML,1561597391,7,22.68,-3.98,98.54,11.74
62,manta,0,RO,1561597391,72,45.1,24.1,63.26,2.21
63,arco,83,US,1561597391,34,43.64,-113.3,63.62,12.64
64,port alfred,83,ZA,1561597391,90,-33.59,26.89,57.0,9.84
65,mataura,8,NZ,1561597377,79,-46.19,168.86,53.01,5.01
66,sinnamary,58,GF,1561597392,83,5.38,-52.96,80.36,17.38
67,borogontsy,0,RU,1561597392,39,62.67,131.17,73.34,3.42
68,suez,0,EG,1561597392,55,29.97,32.54,76.22,7.63
69,poum,0,MK,1561597392,86,41.28,20.71,58.22,4.07
70,san quintin,99,PH,1561597392,85,17.54,120.52,78.38,2.44
71,torbay,20,CA,1561597184,81,47.66,-52.73,48.99,3.36
72,pisco,13,PE,1561597221,88,-13.71,-76.2,63.0,4.7
73,khatanga,0,RU,1561597392,40,71.98,102.47,53.0,8.12
74,samarai,66,PG,1561597392,91,-10.62,150.67,77.3,6.67
